table,wheat,peanuts,cashew nut,walnut,sesame,soybeans,matsutake mashroom,yam,orange,kiwi,banana,peach,apple,almond,shrimp,crab,salmon,mackerel,salmon roe,abalone,squid,egg,milk,beef,pork,chicken,gelatin
escargots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falafel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filet_mignon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fish_and_chips,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
foie_gras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french_fries,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
french_onion_soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french_toast,1,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,1,1,0,0,0,0
fried_calamari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fried_rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1,0,0.5,0.5,0,0
frozen_yogurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
garlic_bread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnocchi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greek_salad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grilled_cheese_sandwich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
grilled_salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guacamole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gyoza,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
hamburger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0
hot_and_sour_soup,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,1,0,0,0,0.4,0
hot_dog,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.8,0.8,0,0
huevos_rancheros,1,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hummus,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0
ice_cream,0,0.2,0.2,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0
lasagna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.8,0,0
lobster_bisque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,1,0,0,0,0
lobster_roll_sandwich,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.8,0.8,0.4,0,0,0,0,0.2,0,0,0,0,0
macaroni_and_cheese,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0,0
macarons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
miso_soup,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0
mussels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nachos,1,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
omelette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
onion_rings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oysters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pad_thai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
paella,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.9,0.5,0.5,0.5,0.3
pancakes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
panna_cotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
peking_duck,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0
pizza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,1,1,0.2,0.2,0.2,0
pork_chop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
poutine,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6,0.5,0.3,0.2
prime_rib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pulled_pork_sandwich,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ramen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.5,0.5,0,1,0.2,0
ravioli,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.8,0.8,0
red_velvet_cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
risotto,0.8,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.8,1,0.2,0.2,1,0
samosa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sashimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0
scallops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
seaweed_salad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrimp_and_grits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
spaghetti_bolognese,1,0,0,0,1,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,1,1,0,0.8,0.3
spaghetti_carbonara,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
spring_rolls,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
steak,1,0,0,0,0.3,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.4,0.6,0.9,0,0.1,0
strawberry_shortcake,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sushi,0.4,0,0,0,0.1,0.7,0,0.1,0,0,0,0,0.1,0,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0,0,0,0
tacos,1,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
takoyaki,1,0,0,0,0.6,1,0,0,0,0,0,0.3,0.6,0,0.9,0.1,0.1,0.8,0.1,0.1,0.2,1,1,0.1,0.7,0.4,0.1
tiramisu,1,0,0,0,0,1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5
tuna_tartare,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waffles,1,0,0,0,0,1,0,0,0.1,0,0,0,0.1,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0
